Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
206,2021-11-01 04:05:00+00:00,2021-11-08 04:00:00+00:00,0,0,0,0.0
207,2021-11-08 04:05:00+00:00,2021-11-15 04:00:00+00:00,0,0,0,0.0
208,2021-11-15 04:05:00+00:00,2021-11-22 04:00:00+00:00,0,0,0,0.0
209,2021-11-22 04:05:00+00:00,2021-11-29 04:00:00+00:00,0,0,0,0.0
210,2021-11-29 04:05:00+00:00,2021-12-06 04:00:00+00:00,1,1,0,0.05092645999999998
211,2021-12-06 04:05:00+00:00,2021-12-13 04:00:00+00:00,0,0,0,0.0
212,2021-12-13 04:05:00+00:00,2021-12-20 04:00:00+00:00,0,0,0,0.0
213,2021-12-20 04:05:00+00:00,2021-12-27 04:00:00+00:00,0,0,0,0.0
214,2021-12-27 04:05:00+00:00,2022-01-03 04:00:00+00:00,0,0,0,0.0
215,2022-01-03 04:05:00+00:00,2022-01-10 04:00:00+00:00,0,0,0,0.0
216,2022-01-10 04:05:00+00:00,2022-01-17 04:00:00+00:00,0,0,0,0.0
217,2022-01-17 04:05:00+00:00,2022-01-24 04:00:00+00:00,0,0,0,0.0
218,2022-01-24 04:05:00+00:00,2022-01-31 04:00:00+00:00,1,0,1,-0.016919980000000168
219,2022-01-31 04:05:00+00:00,2022-02-07 04:00:00+00:00,0,0,0,0.0
220,2022-02-07 04:05:00+00:00,2022-02-14 04:00:00+00:00,0,0,0,0.0
221,2022-02-14 04:05:00+00:00,2022-02-21 04:00:00+00:00,0,0,0,0.0
222,2022-02-21 04:05:00+00:00,2022-02-28 04:00:00+00:00,0,0,0,0.0
223,2022-02-28 04:05:00+00:00,2022-03-07 04:00:00+00:00,2,0,2,-0.03205931999999981
224,2022-03-07 04:05:00+00:00,2022-03-14 04:00:00+00:00,1,0,1,-0.015665079999999998
225,2022-03-14 04:05:00+00:00,2022-03-21 04:00:00+00:00,0,0,0,0.0
226,2022-03-21 04:05:00+00:00,2022-03-28 04:00:00+00:00,0,0,0,0.0
227,2022-03-28 04:05:00+00:00,2022-04-04 04:00:00+00:00,0,0,0,0.0
228,2022-04-04 04:05:00+00:00,2022-04-11 04:00:00+00:00,0,0,0,0.0
229,2022-04-11 04:05:00+00:00,2022-04-18 04:00:00+00:00,0,0,0,0.0
230,2022-04-18 04:05:00+00:00,2022-04-25 04:00:00+00:00,0,0,0,0.0
231,2022-04-25 04:05:00+00:00,2022-05-02 04:00:00+00:00,3,0,3,-0.043918139999999994
232,2022-05-02 04:05:00+00:00,2022-05-09 04:00:00+00:00,0,0,0,0.0
233,2022-05-09 04:05:00+00:00,2022-05-16 04:00:00+00:00,2,0,2,-0.027505420000000003
234,2022-05-16 04:05:00+00:00,2022-05-23 04:00:00+00:00,0,0,0,0.0
235,2022-05-23 04:05:00+00:00,2022-05-30 04:00:00+00:00,0,0,0,0.0
236,2022-05-30 04:05:00+00:00,2022-06-06 04:00:00+00:00,0,0,0,0.0
237,2022-06-06 04:05:00+00:00,2022-06-13 04:00:00+00:00,0,0,0,0.0
238,2022-06-13 04:05:00+00:00,2022-06-20 04:00:00+00:00,0,0,0,0.0
239,2022-06-20 04:05:00+00:00,2022-06-27 04:00:00+00:00,0,0,0,0.0
240,2022-06-27 04:05:00+00:00,2022-07-04 04:00:00+00:00,0,0,0,0.0
241,2022-07-04 04:05:00+00:00,2022-07-11 04:00:00+00:00,3,0,3,-0.03827135999999992
242,2022-07-11 04:05:00+00:00,2022-07-18 04:00:00+00:00,1,0,1,-0.013644039999999968
243,2022-07-18 04:05:00+00:00,2022-07-25 04:00:00+00:00,0,0,0,0.0
244,2022-07-25 04:05:00+00:00,2022-08-01 04:00:00+00:00,0,0,0,0.0
245,2022-08-01 04:05:00+00:00,2022-08-08 04:00:00+00:00,0,0,0,0.0
246,2022-08-08 04:05:00+00:00,2022-08-15 04:00:00+00:00,0,0,0,0.0
247,2022-08-15 04:05:00+00:00,2022-08-22 04:00:00+00:00,0,0,0,0.0
248,2022-08-22 04:05:00+00:00,2022-08-29 04:00:00+00:00,1,0,1,-0.014011159999999911
249,2022-08-29 04:05:00+00:00,2022-09-05 04:00:00+00:00,0,0,0,0.0
250,2022-09-05 04:05:00+00:00,2022-09-12 04:00:00+00:00,0,0,0,0.0
251,2022-09-12 04:05:00+00:00,2022-09-19 04:00:00+00:00,1,1,0,0.00526640000000006
252,2022-09-19 04:05:00+00:00,2022-09-26 04:00:00+00:00,4,0,4,-0.05730673999999991
253,2022-09-26 04:05:00+00:00,2022-10-03 04:00:00+00:00,1,0,1,-0.013699679999999992
254,2022-10-03 04:05:00+00:00,2022-10-10 04:00:00+00:00,0,0,0,0.0
255,2022-10-10 04:05:00+00:00,2022-10-17 04:00:00+00:00,0,0,0,0.0
256,2022-10-17 04:05:00+00:00,2022-10-24 04:00:00+00:00,0,0,0,0.0
257,2022-10-24 04:05:00+00:00,2022-10-31 04:00:00+00:00,0,0,0,0.0
258,2022-10-31 04:05:00+00:00,2022-11-07 04:00:00+00:00,0,0,0,0.0
259,2022-11-07 04:05:00+00:00,2022-11-14 04:00:00+00:00,3,1,2,0.029120499999999938
260,2022-11-14 04:05:00+00:00,2022-11-21 04:00:00+00:00,1,0,1,-0.015163679999999902
261,2022-11-21 04:05:00+00:00,2022-11-25 23:50:00+00:00,0,0,0,0.0
